Customer ID,Age,Gender,Location,Subscription Status,Item Purchased,Category,Size,Color,Season,Purchase Amount (USD),Previous Purchases,Payment Method,Shipping Type,Discount Applied,Promo Code Used,Promo_Dependency_Score,Review Rating,Review_Satisfaction_Score,Purchase_Intensity_Score,Frequency_Category_Score,Category_Diversity,Normalized_Category_Diversity,Customer_Value_Tier,Loyalty_Score_A,Loyalty_Score_B,Promo_Dependency_Segment,Customer_Engagement_Segment,Master_Customer_Segment
1,55,Male,Kentucky,Yes,Blouse,Clothing,L,Gray,Winter,53,14,Venmo,Express,1,1,1,3.1,0.62,0.28,0.8,1,1,Mid Value,0.456,0.405,Highly Promo Dependent,Low Engagement,Discount Survivors
2,19,Male,Maine,Yes,Sweater,Clothing,L,Maroon,Winter,64,2,Cash,Express,1,1,1,3.1,0.62,0.04,0.8,1,1,Mid Value,0.384,0.34,Highly Promo Dependent,Low Engagement,Discount Survivors
3,50,Male,Massachusetts,Yes,Jeans,Clothing,S,Maroon,Spring,73,23,Credit Card,Free Shipping,1,1,1,3.1,0.62,0.46,1,1,1,Mid Value,0.55,0.595,Highly Promo Dependent,Moderately Engaged,Discount Survivors
4,21,Male,Rhode Island,Yes,Sandals,Footwear,M,Maroon,Spring,90,49,PayPal,Next Day Air,1,1,1,3.5,0.7,0.98,1,1,1,High Value,0.714,0.94,Highly Promo Dependent,Highly Engaged,Discount Survivors
5,45,Male,Oregon,Yes,Blouse,Clothing,M,Turquoise,Spring,49,31,PayPal,Free Shipping,1,1,1,2.7,0.54,0.62,0.2,1,1,Mid Value,0.43,0.555,Highly Promo Dependent,Moderately Engaged,Discount Survivors
6,46,Male,Wyoming,Yes,Sneakers,Footwear,M,White,Summer,20,14,Venmo,Standard,1,1,1,2.9,0.58,0.28,1,1,1,Low Value,0.492,0.24,Highly Promo Dependent,Low Engagement,Discount Survivors
7,63,Male,Montana,Yes,Shirt,Clothing,M,Gray,Fall,85,49,Cash,Free Shipping,1,1,1,3.2,0.64,0.98,0.4,1,1,High Value,0.588,0.915,Highly Promo Dependent,Highly Engaged,Discount Survivors
8,27,Male,Louisiana,Yes,Shorts,Clothing,L,Charcoal,Winter,34,19,Credit Card,Free Shipping,1,1,1,3.2,0.64,0.38,1,1,1,Low Value,0.528,0.36,Highly Promo Dependent,Low Engagement,Discount Survivors
9,26,Male,West Virginia,Yes,Coat,Outerwear,L,Silver,Summer,97,8,Venmo,Express,1,1,1,2.6,0.52,0.16,0.2,1,1,High Value,0.29,0.565,Highly Promo Dependent,Low Engagement,Discount Survivors
10,57,Male,Missouri,Yes,Handbag,Accessories,M,Pink,Spring,31,4,Cash,2-Day Shipping,1,1,1,4.8,0.96,0.08,0.4,1,1,Low Value,0.35,0.195,Highly Promo Dependent,Low Engagement,Discount Survivors
